"CustomerID","Age","Gender","PurchaseAmount","InCartAmount","Country"
182,42,"Male",818.01,1525.52,"New Zealand"
183,40,"Male",491.82,893.51,"USA"
184,63,"Female",374.34,337.71,"Australia"
185,37,"Female",156.99,160.67,"Canada"
186,56,"Male",90.62,145.33,"Canada"
187,46,"Male",144.72,225.67,"Australia"
188,30,"Male",328.88,283.66,"Australia"
189,39,NA,839.18,1253.71,"Canada"
190,46,"Female",851.69,1644.49,"USA"
191,45,"Female",174.64,157.9,"Canada"
192,61,"Male",287.28,404.64,"USA"
193,65,"Female",388.14,743.23,"Canada"
194,50,NA,55.89,72.76,"New Zealand"
195,62,NA,444.66,554.88,"Canada"
196,38,"Male",506.34,610.8,"New Zealand"
197,48,"Female",193.93,283.75,"New Zealand"
198,55,"Male",861.42,761.23,"USA"
199,34,"Male",709.94,1117.07,"Australia"
200,26,"Female",182.02,319.88,"Canada"
201,56,"Male",522.09,494.93,"Canada"
202,40,"Male",267.14,366.24,"Australia"
203,36,"Male",300.61,277.55,"USA"
204,71,"Male",506.12,814.17,"Canada"
205,67,"Female",69.24,91.93,"USA"
206,43,"Female",569.15,575.5,"Australia"
207,65,NA,915.16,1507.48,"USA"
208,60,"Female",347.39,405.94,"USA"
209,47,"Male",850.89,1200.07,"Canada"
210,59,"Male",653.66,974.84,"New Zealand"
211,49,"Female",182.4,308.88,"USA"
212,56,"Female",181.89,144.61,"USA"
213,68,"Male",693.68,1067.79,"Canada"
214,46,"Male",827.21,795.74,"Australia"
215,51,NA,665.91,1087.15,"New Zealand"
216,27,NA,436.38,470.38,"USA"
217,18,"Male",557.17,472.38,"New Zealand"
218,60,NA,827.82,1358.01,"Australia"
219,43,"Female",338.78,573.74,"Australia"
220,32,"Female",817.97,786.87,"New Zealand"
221,46,NA,684.99,696.57,"New Zealand"
222,41,NA,379.78,348.4,"Australia"
223,59,"Male",948.4,1091.34,"Canada"
224,65,NA,160.17,251.8,"USA"
225,70,"Male",617.91,817.63,"USA"
226,29,"Female",248.17,254.64,"New Zealand"
227,56,"Male",537,436.97,"USA"
228,41,"Male",259.99,469.67,"Australia"
229,70,NA,53.4,71.83,"Australia"
230,45,"Female",513.82,414.3,"Australia"
231,39,"Female",377.57,440.05,"USA"
232,57,"Female",744,883.87,"USA"
233,50,"Male",541.73,567.19,"USA"
234,36,NA,229.27,231.78,"Canada"
235,43,NA,138.35,153.16,"Canada"
236,52,NA,446.73,501.26,"Canada"
237,60,"Female",957.67,1787.17,"Australia"
238,18,"Female",337.58,574.26,"New Zealand"
239,46,"Female",824.76,726.4,"Australia"
240,31,"Male",692.98,1176.86,"Australia"
241,39,NA,239.8,303.54,"New Zealand"
242,23,NA,294.29,301.13,"Canada"
243,45,"Male",361.34,275.55,"Australia"
244,69,NA,935.49,736.75,"New Zealand"
245,58,NA,505.83,536.26,"Canada"
246,54,"Male",225.96,231.32,"USA"
247,63,"Female",107.29,121.88,"USA"
248,66,"Male",175.08,331.05,"New Zealand"
249,20,"Female",632.18,1215.68,"New Zealand"
250,39,NA,694.17,947.57,"New Zealand"
251,52,NA,230.73,220.47,"New Zealand"
252,24,"Female",698.35,689.45,"Australia"
253,63,"Female",982.59,972.32,"USA"
254,52,"Female",732.98,1011.77,"Australia"
255,68,"Male",540.46,461.69,"New Zealand"
256,61,"Female",785.8,1370.12,"Canada"
257,66,"Male",236.01,345.28,"USA"
258,58,"Male",562.44,1102.27,"Australia"
259,67,"Female",645.21,1189.65,"Australia"
260,NA,"Female",230.17,374.8,"Australia"
261,71,"Female",108.24,97.16,"USA"
262,66,NA,484.3,459.22,"Canada"
263,67,"Male",362.96,422.53,"Australia"
264,72,NA,601.02,1192.81,"New Zealand"
265,64,"Female",807.01,1528.43,"Canada"
266,44,NA,886.93,1258.56,"New Zealand"
267,24,NA,589.06,623.09,"Australia"
268,64,NA,467.74,890.75,"New Zealand"
269,37,"Female",166.55,281.43,"New Zealand"
270,41,"Female",326.16,612.86,"Canada"
271,68,"Male",81.93,128.25,"Australia"
272,70,NA,812.3,631.41,"Australia"
273,33,"Female",383.04,334.48,"New Zealand"
274,36,NA,56.35,110.43,"New Zealand"
275,53,"Male",266.45,496.63,"Canada"
276,19,"Female",283.66,374.84,"USA"
277,65,"Female",297.97,518.39,"Canada"
278,18,NA,529.63,532.35,"Australia"
279,61,"Male",393.68,450.47,"New Zealand"
280,56,"Female",573.06,809.06,"Canada"
281,58,"Male",608.23,594.26,"New Zealand"
282,30,"Male",611.05,865.14,"New Zealand"
283,43,"Female",542.6,642.5,"Australia"
284,51,NA,675.69,938,"Australia"
285,19,"Female",379.8,660.39,"Canada"
286,36,"Male",723.99,943.2,"Canada"
287,34,NA,704.21,782.36,"New Zealand"
288,51,"Male",123.69,238.07,"New Zealand"
289,28,NA,996.36,785.94,"USA"
290,48,"Female",394.4,714.39,"Australia"
291,52,NA,691.94,904.46,"New Zealand"
292,52,NA,653.3,1006.06,"Australia"
293,63,"Male",327.23,565.81,"USA"
294,36,"Female",878.88,968.86,"New Zealand"
295,62,NA,722.77,653.55,"Canada"
296,28,NA,456.34,848.64,"Canada"
297,33,"Female",136.38,171.16,"Australia"
298,57,"Male",316.56,536.67,"New Zealand"
299,26,"Male",76.49,66.66,"Australia"
300,67,NA,441.19,516.17,"Australia"
301,45,"Male",200.18,287.79,"Canada"
302,41,"Female",62.92,68.94,"Australia"
303,27,"Male",549.32,719.36,"USA"
304,32,"Male",834.63,1047.48,"New Zealand"
305,69,NA,922.06,1251.69,"New Zealand"
306,54,NA,876.63,1138.77,"Australia"
307,49,"Female",370.94,402,"Australia"
308,54,NA,282.18,441.82,"USA"
309,56,"Female",613.1,643.15,"USA"
310,48,"Male",830.75,1467.1,"USA"
311,54,"Female",442.05,778.4,"New Zealand"
312,46,"Female",618.64,920.88,"Canada"
313,29,"Male",348.13,497.56,"Canada"
314,31,NA,685.27,555.32,"Canada"
315,55,NA,682.22,874.55,"Australia"
316,69,"Female",71.72,111.81,"Australia"
317,33,"Male",632.39,475.31,"USA"
318,32,"Male",824.34,1510.26,"New Zealand"
319,19,"Male",840.66,735.86,"New Zealand"
320,18,"Male",189.99,167.1,"Australia"
321,20,"Female",654.07,1125.19,"USA"
322,NA,"Female",301.21,237.97,"New Zealand"
323,26,NA,153.91,180.98,"Australia"
324,55,NA,285.47,493.59,"New Zealand"
325,34,NA,913.46,813.12,"USA"
326,37,"Female",953.19,1131.01,"USA"
327,22,"Male",317.26,366.95,"Canada"
328,58,NA,226.88,366.85,"USA"
329,44,NA,263.65,315.25,"Australia"
330,61,"Female",198.97,249.67,"Australia"
331,48,"Male",357.66,407.69,"Canada"
332,70,"Male",436.24,850.06,"New Zealand"
333,25,"Female",309.72,498.59,"New Zealand"
334,53,NA,997.06,1851.43,"USA"
335,66,"Female",518.1,994.07,"New Zealand"
336,58,"Female",508.54,853.95,"USA"
337,46,NA,810.53,1457.44,"New Zealand"
338,38,"Female",137.15,239.98,"New Zealand"
339,18,NA,959.77,1792.7,"USA"
340,70,NA,302.35,541.42,"USA"
341,37,"Male",247.8,301.47,"Canada"
342,59,NA,583.69,1074.11,"New Zealand"
343,63,"Female",361.04,631.36,"USA"
344,59,"Female",236.94,230.66,"Australia"
345,41,NA,167.74,160.45,"Australia"
346,70,NA,362.32,699.1,"Canada"
347,70,"Female",401.35,523.69,"New Zealand"
348,39,"Male",436.87,371.56,"USA"
349,55,"Male",613.42,1217.12,"New Zealand"
350,67,"Female",548.08,422.03,"Australia"
351,33,"Male",677.99,927.51,"New Zealand"
352,47,"Female",991.81,1274.43,"USA"
353,46,"Male",232.93,284.11,"Canada"
354,19,"Male",343.34,572.87,"New Zealand"
355,25,"Male",396.81,437.11,"Canada"
356,31,NA,443.92,696.19,"Canada"
357,53,"Female",461.83,797.39,"Canada"
358,43,"Male",635.6,1049.43,"Australia"
359,57,"Female",234.8,464.98,"USA"
360,70,"Male",490.17,700.35,"Canada"
361,54,NA,829.06,1306.55,"Canada"
362,25,"Male",160.65,177.05,"Australia"
363,NA,"Female",558.63,696.05,"Canada"
364,24,"Male",162.07,235.45,"Canada"
365,69,"Male",548.96,1083.05,"Australia"
366,53,NA,241.68,472.51,"USA"
367,66,"Female",396.87,404.61,"USA"
368,59,"Male",280.24,348.11,"Canada"
369,53,"Male",798.07,1467.52,"Australia"
370,26,NA,91.81,147.99,"Australia"
371,44,"Male",818.35,958.05,"New Zealand"
372,58,"Male",611.25,986.96,"New Zealand"
373,32,"Female",177.51,167.03,"Canada"
374,55,"Male",425.47,794.5,"Canada"
375,23,"Female",123.19,227.3,"New Zealand"
376,21,NA,685.88,633.09,"New Zealand"
377,52,"Male",916.52,730.69,"Canada"
378,52,"Male",572.21,681.95,"USA"
379,30,NA,792.87,969.42,"Australia"
380,58,"Male",363.17,551.07,"Australia"
381,24,NA,277.96,384.44,"Australia"
382,42,"Male",738.41,865.51,"Australia"
383,48,NA,981.53,1139.5,"Australia"
384,63,"Male",869.76,1277.53,"Australia"
385,54,"Male",890.2,724.2,"New Zealand"
386,45,"Male",837.98,1049.58,"New Zealand"
387,56,"Male",747.49,801.17,"Canada"
388,45,"Female",458.21,441.41,"Canada"
389,69,"Male",523.51,433.03,"USA"
390,37,"Female",975.84,795.54,"USA"
391,46,"Female",75.46,148.13,"Australia"
392,59,NA,326.81,571.38,"USA"
393,57,"Female",556.74,439.63,"Canada"
394,18,NA,380.66,545.04,"USA"
395,45,"Female",939.46,725.85,"USA"
396,31,"Female",235.88,405.75,"Canada"
397,48,"Female",565.04,958.37,"New Zealand"
398,29,NA,207.29,156.78,"Australia"
399,46,"Female",767,1357.29,"Canada"
400,33,"Female",566.04,1030.42,"USA"
401,61,"Male",479.38,612.86,"Canada"
402,27,NA,718.51,1108.06,"USA"
403,51,"Female",902.03,1148.55,"New Zealand"
404,43,NA,395.06,457.1,"Australia"
405,66,"Male",524.46,895.04,"New Zealand"
406,50,"Male",370.07,603.57,"Australia"
407,21,NA,625.51,1189.02,"New Zealand"
408,70,NA,442.75,670.05,"Canada"
409,70,"Female",631.46,518.48,"USA"
410,39,"Male",497.13,830.79,"New Zealand"
411,42,"Male",540.18,1017.24,"New Zealand"
412,41,"Female",218.96,356.41,"Australia"
413,54,"Male",533.78,784.8,"Australia"
414,61,"Female",547.68,797.67,"Australia"
415,32,"Female",841.52,1017.61,"USA"
416,31,"Female",751.33,1086.27,"Australia"
417,64,"Female",373.51,698.8,"New Zealand"
418,34,NA,507.05,553.5,"Australia"
419,64,"Female",122.12,216.95,"New Zealand"
420,35,"Male",283.69,450.56,"USA"
421,50,NA,617.12,1158.63,"USA"
422,49,"Male",599.58,672.46,"New Zealand"
423,25,NA,365.52,451.31,"USA"
424,70,"Male",852.3,1603.45,"Australia"
425,NA,"Female",108.13,186.78,"Canada"
426,59,NA,837.11,1193.4,"USA"
427,56,NA,948.13,1441.85,"New Zealand"
428,24,"Female",980.21,1869.9,"Australia"
429,44,"Male",616.07,694.1,"New Zealand"
430,60,"Male",396.34,476.68,"Canada"
431,67,"Male",617.81,1206.51,"New Zealand"
432,26,"Female",319.09,407.14,"USA"
433,37,"Male",178.75,259.88,"Canada"
434,51,NA,475,831.9,"USA"
435,54,"Female",916.46,1233.81,"Australia"
436,46,"Female",708.78,1305.03,"Canada"
437,28,NA,957.38,1555.73,"Canada"
438,19,NA,61.55,55.03,"USA"
439,69,NA,479.35,750.64,"Australia"
440,20,NA,156.83,275.51,"Canada"
441,64,"Male",945.41,991.14,"Australia"
442,55,"Male",111.67,204.96,"Canada"
443,58,"Male",923.9,1246.21,"Canada"
444,32,"Female",534.04,620.61,"New Zealand"
445,45,"Female",131.67,261.96,"USA"
446,72,NA,969.77,1647.2,"USA"
447,22,"Male",508.79,681.34,"New Zealand"
448,45,"Female",675.76,725.61,"New Zealand"
449,31,"Female",456.29,559.47,"Australia"
450,54,"Female",353.75,396.01,"Australia"
451,60,NA,753.99,1291.55,"Australia"
452,60,"Male",536.75,689.68,"Canada"
453,34,"Male",429.69,671.97,"Australia"
454,18,"Female",837.53,882.21,"Canada"
455,43,"Male",510.47,571.55,"New Zealand"
456,62,"Female",680.6,1301.59,"New Zealand"
457,50,NA,800.21,738.79,"Australia"
458,36,"Male",506.77,685.98,"New Zealand"
459,43,"Female",198.88,348.29,"New Zealand"
460,40,"Male",978.45,1144.85,"Canada"
461,21,"Female",423.77,608.04,"USA"
462,33,"Male",849.87,691.86,"USA"
463,66,"Male",806.66,1296.21,"Australia"
464,44,NA,332.99,469.1,"Australia"
465,56,"Male",845.47,1042.17,"Australia"
466,55,NA,888.28,906.07,"Canada"
467,69,"Female",308.02,250.5,"USA"
468,33,"Male",137.07,159.47,"Canada"
469,51,NA,976.92,1377.26,"USA"
470,46,"Female",975.88,1172.49,"Canada"
471,62,"Female",214.74,426.77,"Australia"
472,52,"Female",465.15,375.01,"Canada"
473,27,NA,187.49,157.38,"New Zealand"
474,23,"Female",606.15,968.67,"New Zealand"
475,56,NA,712.04,678.64,"Australia"
476,66,"Male",314.22,463.77,"New Zealand"
477,50,"Female",935.99,807.64,"Australia"
478,40,NA,340.4,533.94,"New Zealand"
479,50,"Female",926.8,1109.13,"New Zealand"
480,52,"Male",103.75,106.57,"Australia"
